[17:42:09] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[17:42:09] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_1000k.csv
[17:42:09] | [INFO] | Pipeline | Input file type: csv
[17:42:09] | [INFO] | Pipeline | Input file delimiter: ","
[17:42:09] | [SUCCESS] | Pipeline | Setting tables location: tables
[17:42:09] | [SUCCESS] | Pipeline | Setting output file location: outputs\res_1000k.csv
[17:42:11] | [SUCCESS] | Pipeline | 1000000 lines read
[17:42:11] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[17:42:11] | [INFO] | Engine | Beginning of transformations
[17:42:11] | [DEBUG] | Functions | input data columns -> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
[17:42:11] | [SUCCESS] | Functions | SEX mapped
[17:42:11] | [SUCCESS] | Functions | POL_TERM_Y correctly assigned
[17:42:11] | [SUCCESS] | Functions | PROD_TYPE column correctly assigned
[17:42:16] | [SUCCESS] | Functions | date conversions correctly done
[17:42:16] | [SUCCESS] | Functions | SUM_ASSURED column correctly assigned
[17:42:16] | [SUCCESS] | Functions | ANNUAL_PREM column correctly assigned
[17:42:16] | [SUCCESS] | Functions | TARIFF column correctly assigned
[17:42:16] | [SUCCESS] | Functions | CURRENCY column correctly assigned
[17:42:16] | [SUCCESS] | Functions | PREM_FREQ column correctly assigned
[17:42:16] | [INFO] | Functions | Output variable list: ID, PROD_TYPE, SEX, POL_TERM_Y, ENTRY_YEAR, ENTRY_MTH, AGE_AT_ENTRY, TARIFF, CURRENCY, SUM_ASSURED, ANNUAL_PREM, PREM_FREQ, REINS, COMM_PC
[17:42:16] | [INFO] | Engine | End of transformations
[17:42:21] | [SUCCESS] | Pipeline | res_1000k.csv file successfully saved
[17:42:21] | [INFO] | Pipeline | Pipeline runtime: 12.05 seconds
[17:42:21] | [INFO] | Pipeline | === PIPELINE ENDING ===
