[23:20:33] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[23:20:33] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_100k.csv
[23:20:33] | [INFO] | Pipeline | Input file type: csv
[23:20:33] | [INFO] | Pipeline | Input file delimiter: ","
[23:20:33] | [SUCCESS] | Pipeline | Setting tables location: tables
[23:20:33] | [SUCCESS] | Pipeline | Setting output file location: outputs\res_100k.csv
[23:20:33] | [SUCCESS] | Pipeline | 100000 lines read
[23:20:33] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[23:20:33] | [INFO] | Engine | Beginning of transformations
[23:20:33] | [DEBUG] | Functions | input data columns=> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
[23:20:33] | [SUCCESS] | Functions | SEX mapped
[23:20:33] | [SUCCESS] | Functions | POL_TERM_Y correctly assigned
[23:20:33] | [SUCCESS] | Functions | PROD_TYPE column correctly assigned
[23:20:34] | [SUCCESS] | Functions | date conversions correctly done
[23:20:34] | [SUCCESS] | Functions | SUM_ASSURED column correctly assigned
[23:20:34] | [SUCCESS] | Functions | ANNUAL_PREM column correctly assigned
[23:20:34] | [SUCCESS] | Functions | TARIFF column correctly assigned
[23:20:34] | [SUCCESS] | Functions | CURRENCY column correctly assigned
[23:20:34] | [SUCCESS] | Functions | PREM_FREQ column correctly assigned
[23:20:34] | [INFO] | Functions | Output variable list: ID, PROD_TYPE, SEX, POL_TERM_Y, ENTRY_YEAR, ENTRY_MTH, AGE_AT_ENTRY, TARIFF, CURRENCY, SUM_ASSURED, ANNUAL_PREM, PREM_FREQ, REINS, COMM_PC
[23:20:34] | [INFO] | Engine | End of transformations
[23:20:34] | [SUCCESS] | Pipeline | res_100k.csv file successfully saved
[23:20:34] | [INFO] | Pipeline | Pipeline runtime: 0.95 seconds
[23:20:34] | [INFO] | Pipeline | === PIPELINE ENDING ===
