[19:29:00] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[19:29:00] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_1000k.csv
[19:29:00] | [INFO] | Pipeline | Input file type: csv
[19:29:00] | [INFO] | Pipeline | Input file delimiter: ","
[19:29:00] | [SUCCESS] | Pipeline | Setting tables location: tables
[19:29:00] | [SUCCESS] | Pipeline | Setting output file location: res_1000k.csv
[19:29:01] | [SUCCESS] | Pipeline | 1000000 lines read
[19:29:01] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[19:29:01] | [INFO] | Engine | Beginning of transformations
[19:29:01] | [DEBUG] | Functions | input data columns -> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
[19:29:01] | [SUCCESS] | Functions | SEX mapped
[19:29:01] | [SUCCESS] | Functions | POL_TERM_Y correctly assigned
[19:29:01] | [SUCCESS] | Functions | PROD_TYPE column correctly assigned
