[19:28:35] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[19:28:35] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_1000k.csv
[19:28:35] | [INFO] | Pipeline | Input file type: csv
[19:28:35] | [INFO] | Pipeline | Input file delimiter: ","
[19:28:35] | [SUCCESS] | Pipeline | Setting tables location: tables
[19:28:35] | [SUCCESS] | Pipeline | Setting output file location: res_1000k.csv
[19:28:36] | [SUCCESS] | Pipeline | 1000000 lines read
[19:28:36] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[19:28:36] | [INFO] | Engine | Beginning of transformations
[19:28:36] | [DEBUG] | Functions | input data columns -> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
[19:28:36] | [SUCCESS] | Functions | SEX mapped
[19:28:36] | [SUCCESS] | Functions | POL_TERM_Y correctly assigned
[19:28:36] | [SUCCESS] | Functions | PROD_TYPE column correctly assigned
[19:28:41] | [SUCCESS] | Functions | date conversions correctly done
[19:28:41] | [SUCCESS] | Functions | SUM_ASSURED column correctly assigned
[19:28:41] | [SUCCESS] | Functions | ANNUAL_PREM column correctly assigned
[19:28:41] | [SUCCESS] | Functions | TARIFF column correctly assigned
[19:28:41] | [SUCCESS] | Functions | CURRENCY column correctly assigned
[19:28:41] | [SUCCESS] | Functions | PREM_FREQ column correctly assigned
[19:28:41] | [INFO] | Functions | Output variable list: ID, PROD_TYPE, SEX, POL_TERM_Y, ENTRY_YEAR, ENTRY_MTH, AGE_AT_ENTRY, TARIFF, CURRENCY, SUM_ASSURED, ANNUAL_PREM, PREM_FREQ, REINS, COMM_PC
[19:28:41] | [INFO] | Engine | End of transformations
[19:28:46] | [SUCCESS] | Pipeline | res_1000k.csv file successfully saved
[19:28:46] | [INFO] | Pipeline | Pipeline runtime: 11.72 seconds
[19:28:46] | [INFO] | Pipeline | === PIPELINE ENDING ===
