[19:25:25] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[19:25:25] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_2000k.csv
[19:25:25] | [INFO] | Pipeline | Input file type: csv
[19:25:25] | [INFO] | Pipeline | Input file delimiter: ","
[19:25:25] | [SUCCESS] | Pipeline | Setting tables location: tables
[19:25:25] | [SUCCESS] | Pipeline | Setting output file location: outputs\res.csv
[19:25:27] | [SUCCESS] | Pipeline | 2000000 lines read
[19:25:27] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[19:25:27] | [INFO] | Engine | Beginning of transformations
[19:25:27] | [DEBUG] | Functions | input data columns -> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
[19:25:27] | [SUCCESS] | Functions | SEX mapped
[19:25:28] | [SUCCESS] | Functions | POL_TERM_Y correctly assigned
[19:25:28] | [SUCCESS] | Functions | PROD_TYPE column correctly assigned
[19:25:40] | [SUCCESS] | Functions | date conversions correctly done
[19:25:40] | [SUCCESS] | Functions | SUM_ASSURED column correctly assigned
[19:25:40] | [SUCCESS] | Functions | ANNUAL_PREM column correctly assigned
[19:25:40] | [SUCCESS] | Functions | TARIFF column correctly assigned
[19:25:41] | [SUCCESS] | Functions | CURRENCY column correctly assigned
[19:25:41] | [SUCCESS] | Functions | PREM_FREQ column correctly assigned
[19:25:42] | [INFO] | Functions | Output variable list: ID, PROD_TYPE, SEX, POL_TERM_Y, ENTRY_YEAR, ENTRY_MTH, AGE_AT_ENTRY, TARIFF, CURRENCY, SUM_ASSURED, ANNUAL_PREM, PREM_FREQ, REINS, COMM_PC
[19:25:42] | [INFO] | Engine | End of transformations
[19:25:56] | [SUCCESS] | Pipeline | res.csv file successfully saved
[19:25:56] | [INFO] | Pipeline | Pipeline runtime: 31.92 seconds
[19:25:56] | [INFO] | Pipeline | === PIPELINE ENDING ===
